,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:23.35,5959,
'0:0:23.4,5947,
'0:0:23.45,5937,
'0:0:23.5,5925,
'0:0:23.55,5902,
'0:0:23.6,5883,
'0:0:23.65,5869,
'0:0:23.7,5859,
'0:0:23.75,5849,
'0:0:23.8,5840,
'0:0:23.85,5830,
'0:0:23.9,5820,
'0:0:23.95,5808,
'0:0:24.0,5800,
'0:0:24.05,5791,
'0:0:24.1,5782,
'0:0:24.15,5774,
'0:0:24.2,5769,
'0:0:24.25,5765,
'0:0:24.3,5764,
'0:0:24.35,5760,
'0:0:24.4,5753,
'0:0:24.45,5744,
'0:0:24.5,5738,
'0:0:24.55,5735,
'0:0:24.6,5731,
'0:0:24.65,5727,
'0:0:24.7,5724,
'0:0:24.75,5722,
'0:0:24.8,5723,
'0:0:24.85,5726,
'0:0:24.9,5726,
'0:0:24.95,5725,
'0:0:25.0,5723,
'0:0:25.05,5720,
'0:0:25.1,5719,
'0:0:25.15,5717,
'0:0:25.2,5714,
'0:0:25.25,5713,
'0:0:25.3,5713,
'0:0:25.35,5714,
'0:0:25.4,5720,
'0:0:25.45,5727,
'0:0:25.5,5733,
'0:0:25.55,5741,
'0:0:25.6,5748,
'0:0:25.65,5757,
'0:0:25.7,5766,
'0:0:25.75,5775,
'0:0:25.8,5782,
'0:0:25.85,5792,
'0:0:25.9,5802,
'0:0:25.95,5816,
'0:0:26.0,5830,
'0:0:26.05,5844,
'0:0:26.1,5858,
'0:0:26.15,5870,
'0:0:26.2,5879,
'0:0:26.25,5890,
'0:0:26.3,5898,
'0:0:26.35,5905,
'0:0:26.4,5911,
'0:0:26.45,5921,
'0:0:26.5,5933,
'0:0:26.55,5941,
'0:0:26.6,5940,
'0:0:26.65,5935,
'0:0:26.7,5929,
'0:0:26.75,5918,
'0:0:26.8,5910,
'0:0:26.85,5901,
'0:0:26.9,5892,
'0:0:26.95,5879,
'0:0:27.0,5868,
'0:0:27.05,5860,
'0:0:27.1,5854,
'0:0:27.15,5847,
'0:0:27.2,5839,
'0:0:27.25,5828,
'0:0:27.3,5817,
'0:0:27.35,5805,
'0:0:27.4,5795,
'0:0:27.45,5786,
'0:0:27.5,5776,
'0:0:27.55,5769,
'0:0:27.6,5762,
'0:0:27.65,5758,
'0:0:27.7,5755,
'0:0:27.75,5751,
'0:0:27.8,5747,
'0:0:27.85,5740,
'0:0:27.9,5732,
'0:0:27.95,5727,
'0:0:28.0,5722,
'0:0:28.05,5716,
'0:0:28.1,5712,
'0:0:28.15,5709,
'0:0:28.2,5708,
'0:0:28.25,5710,
'0:0:28.3,5709,
'0:0:28.35,5704,
'0:0:28.4,5697,
'0:0:28.45,5690,
'0:0:28.5,5686,
'0:0:28.55,5683,
'0:0:28.6,5682,
'0:0:28.65,5678,
'0:0:28.7,5673,
'0:0:28.75,5674,
'0:0:28.8,5678,
'0:0:28.85,5684,
'0:0:28.9,5689,
'0:0:28.95,5692,
'0:0:29.0,5695,
'0:0:29.05,5698,
'0:0:29.1,5705,
'0:0:29.15,5712,
'0:0:29.2,5717,
'0:0:29.25,5725,
'0:0:29.3,5734,
'0:0:29.35,5745,
'0:0:29.4,5758,
'0:0:29.45,5772,
'0:0:29.5,5784,
'0:0:29.55,5796,
'0:0:29.6,5806,
'0:0:29.65,5818,
'0:0:29.7,5830,
'0:0:29.75,5839,
'0:0:29.8,5847,
'0:0:29.85,5859,
'0:0:29.9,5872,
'0:0:29.95,5889,
'0:0:30.0,5904,
'0:0:30.05,5919,
'0:0:30.1,5933,
'0:0:30.15,5944,
'0:0:30.2,5953,
'0:0:30.25,5963,
'0:0:30.3,5967,
'0:0:30.35,5962,
'0:0:30.4,5956,
'0:0:30.45,5951,
'0:0:30.5,5949,
'0:0:30.55,5945,
'0:0:30.6,5939,
'0:0:30.65,5931,
'0:0:30.7,5920,
'0:0:30.75,5907,
'0:0:30.8,5896,
'0:0:30.85,5881,
'0:0:30.9,5867,
