,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:18.8,6220,
'0:0:18.85,6226,
'0:0:18.9,6234,
'0:0:18.95,6244,
'0:0:19.0,6263,
'0:0:19.05,6281,
'0:0:19.1,6299,
'0:0:19.15,6315,
'0:0:19.2,6321,
'0:0:19.25,6318,
'0:0:19.3,6309,
'0:0:19.35,6299,
'0:0:19.4,6285,
'0:0:19.45,6271,
'0:0:19.5,6258,
'0:0:19.55,6249,
'0:0:19.6,6241,
'0:0:19.65,6232,
'0:0:19.7,6220,
'0:0:19.75,6205,
'0:0:19.8,6183,
'0:0:19.85,6165,
'0:0:19.9,6152,
'0:0:19.95,6139,
'0:0:20.0,6121,
'0:0:20.05,6106,
'0:0:20.1,6095,
'0:0:20.15,6087,
'0:0:20.2,6081,
'0:0:20.25,6075,
'0:0:20.3,6069,
'0:0:20.35,6062,
'0:0:20.4,6052,
'0:0:20.45,6046,
'0:0:20.5,6042,
'0:0:20.55,6037,
'0:0:20.6,6032,
'0:0:20.65,6029,
'0:0:20.7,6026,
'0:0:20.75,6024,
'0:0:20.8,6022,
'0:0:20.85,6020,
'0:0:20.9,6018,
'0:0:20.95,6015,
'0:0:21.0,6012,
'0:0:21.05,6013,
'0:0:21.1,6013,
'0:0:21.15,6012,
'0:0:21.2,6013,
'0:0:21.25,6014,
'0:0:21.3,6013,
'0:0:21.35,6014,
'0:0:21.4,6015,
'0:0:21.45,6015,
'0:0:21.5,6016,
'0:0:21.55,6020,
'0:0:21.6,6024,
'0:0:21.65,6031,
'0:0:21.7,6040,
'0:0:21.75,6047,
'0:0:21.8,6055,
'0:0:21.85,6066,
'0:0:21.9,6080,
'0:0:21.95,6096,
'0:0:22.0,6112,
'0:0:22.05,6128,
'0:0:22.1,6147,
'0:0:22.15,6160,
'0:0:22.2,6173,
'0:0:22.25,6187,
'0:0:22.3,6199,
'0:0:22.35,6207,
'0:0:22.4,6217,
'0:0:22.45,6230,
'0:0:22.5,6247,
'0:0:22.55,6263,
'0:0:22.6,6277,
'0:0:22.65,6279,
'0:0:22.7,6266,
'0:0:22.75,6251,
'0:0:22.8,6239,
'0:0:22.85,6230,
'0:0:22.9,6218,
'0:0:22.95,6205,
'0:0:23.0,6196,
'0:0:23.05,6191,
'0:0:23.1,6189,
'0:0:23.15,6188,
'0:0:23.2,6187,
'0:0:23.25,6182,
'0:0:23.3,6171,
'0:0:23.35,6158,
'0:0:23.4,6147,
'0:0:23.45,6137,
'0:0:23.5,6122,
'0:0:23.55,6109,
'0:0:23.6,6099,
'0:0:23.65,6092,
'0:0:23.7,6086,
'0:0:23.75,6079,
'0:0:23.8,6071,
'0:0:23.85,6062,
'0:0:23.9,6051,
'0:0:23.95,6042,
'0:0:24.0,6035,
'0:0:24.05,6028,
'0:0:24.1,6022,
'0:0:24.15,6017,
'0:0:24.2,6015,
'0:0:24.25,6015,
'0:0:24.3,6016,
'0:0:24.35,6016,
'0:0:24.4,6014,
'0:0:24.45,6012,
'0:0:24.5,6010,
'0:0:24.55,6011,
'0:0:24.6,6014,
'0:0:24.65,6015,
'0:0:24.7,6018,
'0:0:24.75,6020,
'0:0:24.8,6021,
'0:0:24.85,6024,
'0:0:24.9,6028,
'0:0:24.95,6032,
'0:0:25.0,6037,
'0:0:25.05,6042,
'0:0:25.1,6049,
'0:0:25.15,6058,
'0:0:25.2,6067,
'0:0:25.25,6072,
'0:0:25.3,6080,
'0:0:25.35,6092,
'0:0:25.4,6107,
'0:0:25.45,6123,
'0:0:25.5,6142,
'0:0:25.55,6161,
'0:0:25.6,6179,
'0:0:25.65,6192,
'0:0:25.7,6207,
'0:0:25.75,6222,
'0:0:25.8,6235,
'0:0:25.85,6244,
'0:0:25.9,6256,
'0:0:25.95,6270,
'0:0:26.0,6289,
'0:0:26.05,6306,
'0:0:26.1,6320,
'0:0:26.15,6331,
'0:0:26.2,6333,
'0:0:26.25,6327,
'0:0:26.3,6321,
'0:0:26.35,6313,
'0:0:26.4,6300,
'0:0:26.45,6287,
'0:0:26.5,6277,
'0:0:26.55,6273,
'0:0:26.6,6269,
'0:0:26.65,6264,
'0:0:26.7,6258,
'0:0:26.75,6247,
'0:0:26.8,6229,
'0:0:26.85,6215,
'0:0:26.9,6202,
'0:0:26.95,6187,
'0:0:27.0,6170,
'0:0:27.05,6156,
'0:0:27.1,6144,
'0:0:27.15,6136,
'0:0:27.2,6126,
'0:0:27.25,6116,
'0:0:27.3,6107,
'0:0:27.35,6092,
'0:0:27.4,6075,
