,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:29.65,364,1086
'0:0:29.7,358,1104
'0:0:29.75,352,1125
'0:0:29.8,352,1145
'0:0:29.85,351,1163
'0:0:29.9,350,1181
'0:0:29.95,352,1195
'0:0:30.0,372,1212
'0:0:30.05,385,1227
'0:0:30.1,371,1241
'0:0:30.15,355,1250
'0:0:30.2,352,1261
'0:0:30.25,362,1274
'0:0:30.3,364,1287
'0:0:30.35,355,1301
'0:0:30.4,348,1316
'0:0:30.45,351,1325
'0:0:30.5,352,1336
'0:0:30.55,353,1339
'0:0:30.6,358,1338
'0:0:30.65,382,1338
'0:0:30.7,383,1337
'0:0:30.75,363,1329
'0:0:30.8,350,1319
'0:0:30.85,354,1312
'0:0:30.9,363,1307
'0:0:30.95,362,1306
'0:0:31.0,354,1303
'0:0:31.05,350,1295
'0:0:31.1,352,1281
'0:0:31.15,352,1265
'0:0:31.2,354,1235
'0:0:31.25,370,1206
'0:0:31.3,388,1176
'0:0:31.35,377,1147
'0:0:31.4,359,1113
'0:0:31.45,352,1083
'0:0:31.5,359,1059
'0:0:31.55,363,1042
'0:0:31.6,358,1026
'0:0:31.65,352,1016
'0:0:31.7,350,1010
'0:0:31.75,351,1005
'0:0:31.8,350,1000
'0:0:31.85,353,990
'0:0:31.9,377,978
'0:0:31.95,393,971
'0:0:32.0,375,966
'0:0:32.05,359,961
'0:0:32.1,355,956
'0:0:32.15,360,949
'0:0:32.2,361,941
'0:0:32.25,357,933
'0:0:32.3,351,926
'0:0:32.35,350,921
'0:0:32.4,349,914
'0:0:32.45,351,909
'0:0:32.5,351,902
'0:0:32.55,376,893
'0:0:32.6,389,887
'0:0:32.65,374,885
'0:0:32.7,358,883
'0:0:32.75,355,880
'0:0:32.8,357,877
'0:0:32.85,359,873
'0:0:32.9,355,868
'0:0:32.95,350,865
'0:0:33.0,348,865
'0:0:33.05,349,866
'0:0:33.1,349,866
'0:0:33.15,349,865
'0:0:33.2,358,861
'0:0:33.25,386,860
'0:0:33.3,384,862
'0:0:33.35,363,863
'0:0:33.4,353,867
'0:0:33.45,355,871
'0:0:33.5,360,874
'0:0:33.55,359,876
'0:0:33.6,354,880
'0:0:33.65,351,882
'0:0:33.7,352,883
'0:0:33.75,354,879
'0:0:33.8,352,877
'0:0:33.85,350,876
'0:0:33.9,370,874
'0:0:33.95,386,877
'0:0:34.0,371,887
'0:0:34.05,356,902
'0:0:34.1,352,918
'0:0:34.15,357,931
'0:0:34.2,361,946
'0:0:34.25,354,957
'0:0:34.3,348,969
'0:0:34.35,348,983
'0:0:34.4,349,998
'0:0:34.45,352,1013
'0:0:34.5,350,1030
'0:0:34.55,357,1044
'0:0:34.6,382,1061
'0:0:34.65,380,1077
'0:0:34.7,360,1092
'0:0:34.75,347,1109
'0:0:34.8,352,1127
'0:0:34.85,361,1143
'0:0:34.9,359,1160
'0:0:34.95,353,1179
'0:0:35.0,352,1204
'0:0:35.05,353,1225
'0:0:35.1,351,1249
'0:0:35.15,350,1262
'0:0:35.2,356,1272
'0:0:35.25,378,1285
'0:0:35.3,381,1297
'0:0:35.35,361,1301
'0:0:35.4,346,1296
'0:0:35.45,351,1286
'0:0:35.5,363,1272
'0:0:35.55,362,1257
'0:0:35.6,354,1243
'0:0:35.65,349,1227
'0:0:35.7,351,1210
'0:0:35.75,352,1193
'0:0:35.8,354,1173
'0:0:35.85,372,1156
'0:0:35.9,385,1140
'0:0:35.95,371,1122
'0:0:36.0,352,1096
'0:0:36.05,347,1074
'0:0:36.1,359,1053
'0:0:36.15,363,1036
'0:0:36.2,358,1019
'0:0:36.25,352,1006
'0:0:36.3,350,990
'0:0:36.35,351,978
'0:0:36.4,351,964
'0:0:36.45,362,948
'0:0:36.5,389,937
'0:0:36.55,385,931
'0:0:36.6,364,926
'0:0:36.65,352,922
'0:0:36.7,355,915
'0:0:36.75,362,908
'0:0:36.8,360,901
'0:0:36.85,355,896
'0:0:36.9,351,893
'0:0:36.95,352,886
'0:0:37.0,352,882
'0:0:37.05,353,879
'0:0:37.1,373,871
'0:0:37.15,391,867
'0:0:37.2,376,867
'0:0:37.25,358,868
'0:0:37.3,352,867
'0:0:37.35,358,865
'0:0:37.4,362,863
'0:0:37.45,358,862
'0:0:37.5,353,862
'0:0:37.55,351,860
'0:0:37.6,352,856
'0:0:37.65,352,853
'0:0:37.7,358,851
'0:0:37.75,383,848
'0:0:37.8,387,849
'0:0:37.85,367,852
'0:0:37.9,355,856
'0:0:37.95,353,859
'0:0:38.0,361,859
'0:0:38.05,363,858
'0:0:38.1,357,857
'0:0:38.15,353,857
'0:0:38.2,353,854
'0:0:38.25,353,852
'0:0:38.3,352,857
'0:0:38.35,367,863
'0:0:38.4,384,872
'0:0:38.45,376,882
'0:0:38.5,359,895
'0:0:38.55,352,905
'0:0:38.6,358,913
'0:0:38.65,363,919
'0:0:38.7,357,927
'0:0:38.75,351,939
'0:0:38.8,349,951
'0:0:38.85,352,961
'0:0:38.9,352,975
'0:0:38.95,354,986
'0:0:39.0,373,997
'0:0:39.05,384,1012
'0:0:39.1,369,1028
'0:0:39.15,353,1042
'0:0:39.2,351,1056
'0:0:39.25,359,1072
'0:0:39.3,363,1092
'0:0:39.35,355,1113
'0:0:39.4,349,1141
'0:0:39.45,350,1164
'0:0:39.5,350,1188
'0:0:39.55,349,1205
'0:0:39.6,356,1219
'0:0:39.65,380,1234
'0:0:39.7,380,1248
'0:0:39.75,362,1257
'0:0:39.8,350,1259
'0:0:39.85,355,1262
'0:0:39.9,365,1268
'0:0:39.95,363,1276
'0:0:40.0,355,1288
'0:0:40.05,352,1297
'0:0:40.1,352,1306
'0:0:40.15,352,1308
'0:0:40.2,354,1305
'0:0:40.25,374,1302
'0:0:40.3,387,1294
