,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:20.75,449,143
'0:0:20.8,447,135
'0:0:20.85,418,136
'0:0:20.9,402,165
'0:0:20.95,397,181
'0:0:21.0,395,180
'0:0:21.05,381,184
'0:0:21.1,359,190
'0:0:21.15,346,201
'0:0:21.2,346,208
'0:0:21.25,370,203
'0:0:21.3,387,190
'0:0:21.35,378,192
'0:0:21.4,328,191
'0:0:21.45,291,168
'0:0:21.5,304,162
'0:0:21.55,313,163
'0:0:21.6,321,157
'0:0:21.65,330,150
'0:0:21.7,337,140
'0:0:21.75,379,134
'0:0:21.8,408,133
'0:0:21.85,391,134
'0:0:21.9,368,133
'0:0:21.95,371,135
'0:0:22.0,394,133
'0:0:22.05,384,121
'0:0:22.1,374,122
'0:0:22.15,382,144
'0:0:22.2,400,161
'0:0:22.25,433,171
'0:0:22.3,426,176
'0:0:22.35,394,179
'0:0:22.4,363,190
'0:0:22.45,358,203
'0:0:22.5,366,206
'0:0:22.55,363,199
'0:0:22.6,348,188
'0:0:22.65,344,185
'0:0:22.7,350,183
'0:0:22.75,347,160
'0:0:22.8,341,145
'0:0:22.85,323,157
'0:0:22.9,306,162
'0:0:22.95,315,158
'0:0:23.0,330,157
'0:0:23.05,339,151
'0:0:23.1,359,145
'0:0:23.15,363,139
'0:0:23.2,386,134
'0:0:23.25,418,134
'0:0:23.3,425,148
'0:0:23.35,401,152
'0:0:23.4,384,147
'0:0:23.45,389,160
'0:0:23.5,395,167
'0:0:23.55,391,176
'0:0:23.6,382,194
'0:0:23.65,375,206
'0:0:23.7,397,211
'0:0:23.75,396,217
'0:0:23.8,371,219
'0:0:23.85,340,219
'0:0:23.9,333,215
'0:0:23.95,347,216
'0:0:24.0,343,213
'0:0:24.05,302,182
'0:0:24.1,285,162
'0:0:24.15,316,172
'0:0:24.2,367,171
'0:0:24.25,379,156
'0:0:24.3,360,148
'0:0:24.35,350,143
'0:0:24.4,368,140
'0:0:24.45,380,133
'0:0:24.5,371,130
'0:0:24.55,380,137
'0:0:24.6,399,148
'0:0:24.65,419,149
'0:0:24.7,433,152
'0:0:24.75,422,164
'0:0:24.8,403,173
