,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:23.8,358,1837
'0:0:23.85,350,1846
'0:0:23.9,368,1852
'0:0:23.95,370,1853
'0:0:24.0,347,1850
'0:0:24.05,330,1843
'0:0:24.1,328,1832
'0:0:24.15,331,1817
'0:0:24.2,333,1808
'0:0:24.25,196,1810
'0:0:24.3,352,1813
'0:0:24.35,484,1796
'0:0:24.4,513,1775
'0:0:24.45,441,1759
'0:0:24.5,388,1742
'0:0:24.55,380,1714
'0:0:24.6,379,1688
'0:0:24.65,356,1673
'0:0:24.7,335,1668
'0:0:24.75,327,1655
'0:0:24.8,328,1637
'0:0:24.85,332,1622
'0:0:24.9,344,1619
'0:0:24.95,426,1619
'0:0:25.0,471,1609
'0:0:25.05,429,1594
'0:0:25.1,386,1578
'0:0:25.15,359,1563
'0:0:25.2,355,1551
'0:0:25.25,235,1536
'0:0:25.3,258,1523
'0:0:25.35,239,1506
'0:0:25.4,420,1482
'0:0:25.45,411,1452
'0:0:25.5,379,1423
'0:0:25.55,358,1392
'0:0:25.6,376,1366
'0:0:25.65,460,1336
'0:0:25.7,465,1302
'0:0:25.75,412,1268
'0:0:25.8,380,1241
'0:0:25.85,358,1216
'0:0:25.9,360,1192
'0:0:25.95,362,1164
'0:0:26.0,343,1139
'0:0:26.05,327,1114
'0:0:26.1,323,1093
'0:0:26.15,325,1070
'0:0:26.2,328,1049
'0:0:26.25,328,1030
'0:0:26.3,159,1014
'0:0:26.35,341,995
'0:0:26.4,505,976
'0:0:26.45,527,961
'0:0:26.5,452,956
'0:0:26.55,395,951
'0:0:26.6,370,943
'0:0:26.65,365,932
'0:0:26.7,351,921
'0:0:26.75,330,914
'0:0:26.8,321,914
'0:0:26.85,323,915
'0:0:26.9,327,910
'0:0:26.95,328,897
'0:0:27.0,325,884
'0:0:27.05,322,869
'0:0:27.1,381,854
'0:0:27.15,459,840
'0:0:27.2,438,829
'0:0:27.25,392,820
'0:0:27.3,240,813
'0:0:27.35,217,806
'0:0:27.4,276,799
'0:0:27.45,451,791
'0:0:27.5,422,784
'0:0:27.55,376,776
'0:0:27.6,352,768
'0:0:27.65,342,762
'0:0:27.7,338,757
'0:0:27.75,333,751
'0:0:27.8,328,745
'0:0:27.85,324,740
'0:0:27.9,382,734
'0:0:27.95,459,725
'0:0:28.0,439,718
'0:0:28.05,393,713
'0:0:28.1,370,710
'0:0:28.15,356,707
'0:0:28.2,358,704
'0:0:28.25,356,701
'0:0:28.3,337,700
'0:0:28.35,161,697
'0:0:28.4,269,692
'0:0:28.45,381,686
'0:0:28.5,429,682
'0:0:28.55,397,680
'0:0:28.6,365,678
'0:0:28.65,342,677
'0:0:28.7,367,674
'0:0:28.75,455,670
'0:0:28.8,454,666
'0:0:28.85,402,665
'0:0:28.9,371,668
'0:0:28.95,354,668
'0:0:29.0,357,664
'0:0:29.05,360,660
'0:0:29.1,345,657
'0:0:29.15,330,655
'0:0:29.2,326,652
'0:0:29.25,327,651
'0:0:29.3,331,650
'0:0:29.35,216,647
'0:0:29.4,178,647
'0:0:29.45,268,647
'0:0:29.5,451,646
'0:0:29.55,526,644
'0:0:29.6,511,641
'0:0:29.65,436,641
'0:0:29.7,384,646
'0:0:29.75,359,652
'0:0:29.8,361,656
'0:0:29.85,367,659
'0:0:29.9,353,663
'0:0:29.95,336,669
'0:0:30.0,325,674
'0:0:30.05,324,680
'0:0:30.1,328,684
'0:0:30.15,334,689
'0:0:30.2,333,695
'0:0:30.25,330,700
'0:0:30.3,345,705
'0:0:30.35,385,709
'0:0:30.4,306,713
'0:0:30.45,328,720
'0:0:30.5,438,729
'0:0:30.55,451,738
'0:0:30.6,422,749
'0:0:30.65,401,766
'0:0:30.7,370,781
'0:0:30.75,347,799
'0:0:30.8,332,817
'0:0:30.85,328,838
'0:0:30.9,330,859
'0:0:30.95,335,882
'0:0:31.0,337,902
'0:0:31.05,333,926
'0:0:31.1,378,947
'0:0:31.15,457,965
'0:0:31.2,443,978
'0:0:31.25,388,991
'0:0:31.3,354,1005
'0:0:31.35,347,1028
'0:0:31.4,260,1061
'0:0:31.45,215,1107
'0:0:31.5,311,1152
'0:0:31.55,433,1202
'0:0:31.6,399,1250
'0:0:31.65,366,1304
'0:0:31.7,349,1356
'0:0:31.75,340,1414
'0:0:31.8,332,1466
'0:0:31.85,362,1520
'0:0:31.9,448,1558
'0:0:31.95,447,1585
'0:0:32.0,394,1605
'0:0:32.05,356,1622
'0:0:32.1,343,1641
'0:0:32.15,362,1666
'0:0:32.2,370,1690
'0:0:32.25,351,1716
'0:0:32.3,331,1739
'0:0:32.35,325,1754
'0:0:32.4,231,1760
'0:0:32.45,202,1759
'0:0:32.5,229,1766
'0:0:32.55,471,1779
'0:0:32.6,549,1773
'0:0:32.65,487,1758
'0:0:32.7,416,1750
'0:0:32.75,373,1744
'0:0:32.8,360,1735
'0:0:32.85,374,1711
'0:0:32.9,368,1684
'0:0:32.95,345,1671
'0:0:33.0,330,1666
'0:0:33.05,328,1652
'0:0:33.1,331,1636
'0:0:33.15,335,1634
'0:0:33.2,381,1639
'0:0:33.25,454,1634
'0:0:33.3,438,1622
'0:0:33.35,394,1608
'0:0:33.4,368,1591
'0:0:33.45,253,1569
'0:0:33.5,232,1549
'0:0:33.55,352,1528
'0:0:33.6,445,1513
'0:0:33.65,403,1499
'0:0:33.7,370,1485
'0:0:33.75,356,1467
'0:0:33.8,347,1449
'0:0:33.85,350,1437
'0:0:33.9,424,1431
'0:0:33.95,461,1415
'0:0:34.0,421,1397
'0:0:34.05,387,1374
'0:0:34.1,362,1351
'0:0:34.15,357,1325
'0:0:34.2,364,1297
'0:0:34.25,353,1265
'0:0:34.3,337,1239
'0:0:34.35,328,1211
'0:0:34.4,331,1184
'0:0:34.45,212,1154
'0:0:34.5,217,1129
'0:0:34.55,225,1108
'0:0:34.6,498,1088
'0:0:34.65,553,1064
'0:0:34.7,482,1045
'0:0:34.75,424,1026
'0:0:34.8,385,1008
'0:0:34.85,366,990
'0:0:34.9,365,975
'0:0:34.95,350,960
'0:0:35.0,336,947
'0:0:35.05,328,934
'0:0:35.1,330,923
'0:0:35.15,331,911
'0:0:35.2,331,901
'0:0:35.25,329,892
'0:0:35.3,337,886
'0:0:35.35,418,883
'0:0:35.4,465,883
'0:0:35.45,428,880
'0:0:35.5,242,874
'0:0:35.55,243,866
'0:0:35.6,361,855
'0:0:35.65,467,840
'0:0:35.7,424,825
'0:0:35.75,376,811
'0:0:35.8,349,799
'0:0:35.85,338,786
'0:0:35.9,337,776
'0:0:35.95,335,766
'0:0:36.0,331,760
'0:0:36.05,325,753
'0:0:36.1,337,746
'0:0:36.15,429,737
'0:0:36.2,469,730
'0:0:36.25,427,727
'0:0:36.3,392,726
'0:0:36.35,366,722
'0:0:36.4,355,717
'0:0:36.45,358,712
'0:0:36.5,217,707
'0:0:36.55,246,701
'0:0:36.6,221,696
'0:0:36.65,418,689
'0:0:36.7,419,683
'0:0:36.75,384,679
'0:0:36.8,360,676
'0:0:36.85,341,673
'0:0:36.9,335,671
'0:0:36.95,406,667
'0:0:37.0,473,663
'0:0:37.05,445,660
'0:0:37.1,400,659
'0:0:37.15,375,658
'0:0:37.2,357,657
'0:0:37.25,358,655
'0:0:37.3,352,652
'0:0:37.35,337,651
'0:0:37.4,326,650
'0:0:37.45,325,646
'0:0:37.5,326,645
'0:0:37.55,172,645
'0:0:37.6,242,645
'0:0:37.65,351,645
'0:0:37.7,420,645
'0:0:37.75,424,645
'0:0:37.8,490,643
'0:0:37.85,484,640
'0:0:37.9,424,642
'0:0:37.95,386,646
'0:0:38.0,361,649
'0:0:38.05,359,650
'0:0:38.1,360,651
'0:0:38.15,346,652
'0:0:38.2,329,654
'0:0:38.25,326,655
'0:0:38.3,327,655
'0:0:38.35,326,657
'0:0:38.4,329,661
'0:0:38.45,328,667
'0:0:38.5,324,672
'0:0:38.55,206,679
'0:0:38.6,305,683
'0:0:38.65,394,686
'0:0:38.7,534,690
'0:0:38.75,475,698
'0:0:38.8,414,707
'0:0:38.85,382,714
'0:0:38.9,376,722
'0:0:38.95,362,731
'0:0:39.0,343,740
'0:0:39.05,329,749
'0:0:39.1,326,758
'0:0:39.15,327,772
'0:0:39.2,332,787
'0:0:39.25,329,804
'0:0:39.3,326,820
'0:0:39.35,321,840
'0:0:39.4,340,861
'0:0:39.45,442,882
'0:0:39.5,473,901
'0:0:39.55,419,923
'0:0:39.6,222,945
'0:0:39.65,287,970
'0:0:39.7,391,998
'0:0:39.75,451,1032
'0:0:39.8,406,1064
'0:0:39.85,355,1098
'0:0:39.9,320,1126
'0:0:39.95,319,1155
'0:0:40.0,329,1179
'0:0:40.05,332,1205
'0:0:40.1,330,1227
'0:0:40.15,326,1248
'0:0:40.2,345,1269
'0:0:40.25,447,1286
'0:0:40.3,472,1297
'0:0:40.35,417,1311
'0:0:40.4,370,1324
'0:0:40.45,347,1343
'0:0:40.5,357,1369
'0:0:40.55,368,1397
'0:0:40.6,243,1417
'0:0:40.65,205,1437
'0:0:40.7,254,1451
'0:0:40.75,410,1455
'0:0:40.8,402,1450
'0:0:40.85,374,1436
'0:0:40.9,351,1427
'0:0:40.95,370,1434
'0:0:41.0,461,1439
'0:0:41.05,470,1434
'0:0:41.1,414,1433
'0:0:41.15,373,1437
'0:0:41.2,350,1444
'0:0:41.25,360,1453
'0:0:41.3,366,1458
'0:0:41.35,350,1454
'0:0:41.4,330,1452
'0:0:41.45,322,1461
'0:0:41.5,325,1474
'0:0:41.55,329,1484
'0:0:41.6,324,1487
'0:0:41.65,209,1495
'0:0:41.7,396,1504
'0:0:41.75,518,1507
'0:0:41.8,506,1507
'0:0:41.85,436,1503
'0:0:41.9,385,1496
'0:0:41.95,374,1474
'0:0:42.0,375,1443
'0:0:42.05,357,1420
'0:0:42.1,332,1406
'0:0:42.15,324,1393
'0:0:42.2,327,1379
'0:0:42.25,330,1362
'0:0:42.3,330,1345
'0:0:42.35,335,1335
'0:0:42.4,411,1327
'0:0:42.45,476,1305
'0:0:42.5,439,1278
'0:0:42.55,391,1250
'0:0:42.6,362,1227
'0:0:42.65,256,1202
'0:0:42.7,241,1176
'0:0:42.75,321,1146
'0:0:42.8,426,1121
'0:0:42.85,391,1095
'0:0:42.9,360,1070
'0:0:42.95,349,1045
'0:0:43.0,342,1026
'0:0:43.05,335,1011
'0:0:43.1,338,999
'0:0:43.15,425,985
'0:0:43.2,479,968
'0:0:43.25,435,953
'0:0:43.3,389,942
'0:0:43.35,364,931
'0:0:43.4,355,922
'0:0:43.45,360,913
'0:0:43.5,349,903
'0:0:43.55,330,894
'0:0:43.6,322,885
'0:0:43.65,268,877
'0:0:43.7,202,875
'0:0:43.75,254,872
'0:0:43.8,388,866
'0:0:43.85,405,860
'0:0:43.9,387,853
'0:0:43.95,468,846
'0:0:44.0,495,839
'0:0:44.05,438,830
'0:0:44.1,392,825
'0:0:44.15,366,821
'0:0:44.2,356,816
'0:0:44.25,361,810
'0:0:44.3,349,806
'0:0:44.35,331,803
'0:0:44.4,321,797
'0:0:44.45,322,789
'0:0:44.5,325,784
'0:0:44.55,328,781
'0:0:44.6,330,778
'0:0:44.65,326,774
'0:0:44.7,239,771
'0:0:44.75,243,763
'0:0:44.8,451,753
'0:0:44.85,561,747
'0:0:44.9,481,746
'0:0:44.95,418,745
'0:0:45.0,381,743
'0:0:45.05,371,740
'0:0:45.1,367,737
'0:0:45.15,351,733
'0:0:45.2,334,732
'0:0:45.25,328,731
'0:0:45.3,328,728
'0:0:45.35,329,726
'0:0:45.4,331,725
'0:0:45.45,330,722
'0:0:45.5,326,720
'0:0:45.55,325,719
'0:0:45.6,352,718
'0:0:45.65,466,713
'0:0:45.7,403,709
'0:0:45.75,329,708
'0:0:45.8,299,710
'0:0:45.85,431,713
'0:0:45.9,437,714
'0:0:45.95,411,712
'0:0:46.0,378,710
'0:0:46.05,348,708
'0:0:46.1,331,705
'0:0:46.15,327,702
'0:0:46.2,329,701
'0:0:46.25,332,699
'0:0:46.3,332,697
'0:0:46.35,329,697
'0:0:46.4,322,697
'0:0:46.45,333,695
'0:0:46.5,439,691
'0:0:46.55,493,687
'0:0:46.6,445,686
'0:0:46.65,390,686
'0:0:46.7,362,686
'0:0:46.75,263,685
'0:0:46.8,258,685
'0:0:46.85,349,683
'0:0:46.9,421,681
