,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'0:0:27.55,5838
'0:0:27.6,5833
'0:0:27.65,5827
'0:0:27.7,5821
'0:0:27.75,5811
'0:0:27.8,5802
'0:0:27.85,5797
'0:0:27.9,5791
'0:0:27.95,5781
'0:0:28.0,5771
'0:0:28.05,5762
'0:0:28.1,5758
'0:0:28.15,5757
'0:0:28.2,5757
'0:0:28.25,5757
'0:0:28.3,5756
'0:0:28.35,5754
'0:0:28.4,5751
'0:0:28.45,5749
'0:0:28.5,5748
'0:0:28.55,5747
'0:0:28.6,5745
'0:0:28.65,5745
'0:0:28.7,5745
'0:0:28.75,5745
'0:0:28.8,5746
'0:0:28.85,5749
'0:0:28.9,5751
'0:0:28.95,5751
'0:0:29.0,5749
'0:0:29.05,5748
'0:0:29.1,5748
'0:0:29.15,5749
'0:0:29.2,5750
'0:0:29.25,5751
'0:0:29.3,5752
'0:0:29.35,5756
'0:0:29.4,5762
'0:0:29.45,5771
'0:0:29.5,5779
'0:0:29.55,5787
'0:0:29.6,5796
'0:0:29.65,5807
'0:0:29.7,5815
'0:0:29.75,5827
'0:0:29.8,5839
'0:0:29.85,5849
'0:0:29.9,5855
'0:0:29.95,5862
'0:0:30.0,5870
'0:0:30.05,5883
'0:0:30.1,5897
'0:0:30.15,5913
'0:0:30.2,5927
'0:0:30.25,5944
'0:0:30.3,5953
'0:0:30.35,5960
'0:0:30.4,5964
'0:0:30.45,5962
'0:0:30.5,5955
'0:0:30.55,5945
'0:0:30.6,5937
'0:0:30.65,5930
'0:0:30.7,5926
'0:0:30.75,5925
'0:0:30.8,5923
'0:0:30.85,5919
'0:0:30.9,5913
'0:0:30.95,5900
'0:0:31.0,5886
'0:0:31.05,5874
'0:0:31.1,5864
'0:0:31.15,5851
'0:0:31.2,5838
'0:0:31.25,5826
'0:0:31.3,5818
'0:0:31.35,5811
'0:0:31.4,5807
'0:0:31.45,5803
'0:0:31.5,5799
'0:0:31.55,5793
'0:0:31.6,5786
'0:0:31.65,5777
'0:0:31.7,5773
'0:0:31.75,5767
'0:0:31.8,5761
'0:0:31.85,5756
'0:0:31.9,5752
'0:0:31.95,5750
'0:0:32.0,5748
'0:0:32.05,5749
'0:0:32.1,5750
'0:0:32.15,5749
'0:0:32.2,5747
'0:0:32.25,5744
'0:0:32.3,5741
'0:0:32.35,5741
'0:0:32.4,5742
'0:0:32.45,5741
'0:0:32.5,5740
'0:0:32.55,5740
'0:0:32.6,5741
'0:0:32.65,5743
'0:0:32.7,5744
'0:0:32.75,5747
'0:0:32.8,5750
'0:0:32.85,5751
'0:0:32.9,5753
'0:0:32.95,5756
'0:0:33.0,5757
'0:0:33.05,5761
'0:0:33.1,5767
'0:0:33.15,5773
'0:0:33.2,5778
'0:0:33.25,5785
'0:0:33.3,5793
'0:0:33.35,5801
'0:0:33.4,5809
'0:0:33.45,5821
'0:0:33.5,5835
'0:0:33.55,5850
'0:0:33.6,5862
'0:0:33.65,5877
'0:0:33.7,5886
'0:0:33.75,5894
'0:0:33.8,5904
'0:0:33.85,5915
'0:0:33.9,5923
'0:0:33.95,5928
'0:0:34.0,5933
'0:0:34.05,5943
'0:0:34.1,5953
'0:0:34.15,5965
'0:0:34.2,5973
'0:0:34.25,5974
'0:0:34.3,5971
'0:0:34.35,5968
'0:0:34.4,5960
'0:0:34.45,5947
'0:0:34.5,5939
'0:0:34.55,5931
'0:0:34.6,5921
'0:0:34.65,5908
'0:0:34.7,5896
'0:0:34.75,5885
'0:0:34.8,5876
'0:0:34.85,5869
'0:0:34.9,5865
'0:0:34.95,5859
'0:0:35.0,5853
'0:0:35.05,5846
'0:0:35.1,5836
'0:0:35.15,5826
'0:0:35.2,5819
'0:0:35.25,5810
'0:0:35.3,5801
'0:0:35.35,5792
'0:0:35.4,5785
'0:0:35.45,5779
'0:0:35.5,5774
'0:0:35.55,5770
'0:0:35.6,5768
'0:0:35.65,5765
'0:0:35.7,5763
'0:0:35.75,5759
'0:0:35.8,5753
'0:0:35.85,5749
'0:0:35.9,5747
'0:0:35.95,5743
'0:0:36.0,5740
'0:0:36.05,5738
'0:0:36.1,5738
'0:0:36.15,5738
'0:0:36.2,5738
'0:0:36.25,5741
'0:0:36.3,5744
'0:0:36.35,5745
'0:0:36.4,5748
'0:0:36.45,5752
'0:0:36.5,5753
'0:0:36.55,5756
'0:0:36.6,5762
'0:0:36.65,5767
'0:0:36.7,5771
'0:0:36.75,5777
'0:0:36.8,5786
'0:0:36.85,5797
'0:0:36.9,5809
'0:0:36.95,5826
'0:0:37.0,5840
'0:0:37.05,5853
'0:0:37.1,5865
'0:0:37.15,5876
'0:0:37.2,5884
'0:0:37.25,5896
'0:0:37.3,5908
'0:0:37.35,5917
'0:0:37.4,5921
'0:0:37.45,5927
'0:0:37.5,5935
'0:0:37.55,5949
'0:0:37.6,5963
'0:0:37.65,5976
'0:0:37.7,5983
'0:0:37.75,5985
'0:0:37.8,5980
'0:0:37.85,5969
'0:0:37.9,5961
'0:0:37.95,5953
'0:0:38.0,5945
'0:0:38.05,5932
'0:0:38.1,5922
'0:0:38.15,5914
'0:0:38.2,5908
'0:0:38.25,5903
'0:0:38.3,5901
'0:0:38.35,5898
'0:0:38.4,5893
'0:0:38.45,5885
'0:0:38.5,5872
'0:0:38.55,5859
'0:0:38.6,5850
'0:0:38.65,5840
'0:0:38.7,5830
'0:0:38.75,5818
'0:0:38.8,5809
'0:0:38.85,5802
'0:0:38.9,5797
'0:0:38.95,5791
'0:0:39.0,5787
'0:0:39.05,5781
'0:0:39.1,5775
'0:0:39.15,5768
'0:0:39.2,5761
'0:0:39.25,5757
'0:0:39.3,5753
'0:0:39.35,5748
'0:0:39.4,5745
'0:0:39.45,5743
'0:0:39.5,5741
'0:0:39.55,5740
'0:0:39.6,5740
'0:0:39.65,5744
'0:0:39.7,5746
'0:0:39.75,5746
'0:0:39.8,5746
'0:0:39.85,5746
'0:0:39.9,5746
'0:0:39.95,5749
'0:0:40.0,5751
'0:0:40.05,5752
'0:0:40.1,5753
'0:0:40.15,5757
'0:0:40.2,5762
'0:0:40.25,5766
'0:0:40.3,5772
'0:0:40.35,5780
'0:0:40.4,5791
'0:0:40.45,5802
'0:0:40.5,5813
'0:0:40.55,5825
'0:0:40.6,5833
'0:0:40.65,5842
'0:0:40.7,5853
'0:0:40.75,5866
'0:0:40.8,5874
'0:0:40.85,5882
'0:0:40.9,5890
'0:0:40.95,5903
'0:0:41.0,5915
'0:0:41.05,5929
'0:0:41.1,5944
'0:0:41.15,5957
'0:0:41.2,5971
'0:0:41.25,5984
'0:0:41.3,5984
'0:0:41.35,5978
'0:0:41.4,5971
'0:0:41.45,5962
'0:0:41.5,5952
'0:0:41.55,5940
'0:0:41.6,5931
'0:0:41.65,5925
'0:0:41.7,5920
'0:0:41.75,5919
'0:0:41.8,5918
'0:0:41.85,5915
'0:0:41.9,5912
'0:0:41.95,5905
'0:0:42.0,5891
'0:0:42.05,5876
'0:0:42.1,5867
'0:0:42.15,5856
'0:0:42.2,5844
'0:0:42.25,5830
'0:0:42.3,5819
'0:0:42.35,5812
'0:0:42.4,5805
'0:0:42.45,5798
'0:0:42.5,5794
'0:0:42.55,5791
'0:0:42.6,5787
'0:0:42.65,5783
'0:0:42.7,5776
'0:0:42.75,5768
'0:0:42.8,5764
'0:0:42.85,5761
'0:0:42.9,5757
'0:0:42.95,5752
'0:0:43.0,5749
'0:0:43.05,5746
'0:0:43.1,5746
'0:0:43.15,5745
'0:0:43.2,5745
'0:0:43.25,5745
'0:0:43.3,5747
'0:0:43.35,5750
'0:0:43.4,5751
'0:0:43.45,5752
'0:0:43.5,5751
'0:0:43.55,5749
'0:0:43.6,5749
'0:0:43.65,5752
'0:0:43.7,5755
'0:0:43.75,5755
'0:0:43.8,5754
'0:0:43.85,5756
'0:0:43.9,5762
'0:0:43.95,5770
'0:0:44.0,5779
'0:0:44.05,5791
'0:0:44.1,5803
'0:0:44.15,5816
'0:0:44.2,5831
'0:0:44.25,5850
'0:0:44.3,5866
'0:0:44.35,5880
'0:0:44.4,5896
'0:0:44.45,5907
'0:0:44.5,5914
'0:0:44.55,5925
'0:0:44.6,5940
'0:0:44.65,5956
'0:0:44.7,5965
'0:0:44.75,5973
'0:0:44.8,5984
'0:0:44.85,5998
'0:0:44.9,6006
'0:0:44.95,6011
'0:0:45.0,6012
'0:0:45.05,6009
'0:0:45.1,6007
'0:0:45.15,6002
'0:0:45.2,5990
'0:0:45.25,5978
'0:0:45.3,5971
'0:0:45.35,5964
'0:0:45.4,5956
'0:0:45.45,5947
'0:0:45.5,5938
'0:0:45.55,5926
'0:0:45.6,5913
'0:0:45.65,5902
'0:0:45.7,5895
'0:0:45.75,5887
'0:0:45.8,5881
'0:0:45.85,5873
'0:0:45.9,5860
'0:0:45.95,5843
'0:0:46.0,5834
'0:0:46.05,5827
'0:0:46.1,5820
'0:0:46.15,5811
'0:0:46.2,5804
'0:0:46.25,5799
'0:0:46.3,5793
'0:0:46.35,5789
'0:0:46.4,5786
'0:0:46.45,5782
'0:0:46.5,5777
'0:0:46.55,5771
'0:0:46.6,5765
'0:0:46.65,5757
'0:0:46.7,5752
'0:0:46.75,5748
'0:0:46.8,5745
'0:0:46.85,5741
'0:0:46.9,5736
'0:0:46.95,5732
'0:0:47.0,5728
'0:0:47.05,5725
'0:0:47.1,5724
'0:0:47.15,5726
'0:0:47.2,5730
'0:0:47.25,5735
'0:0:47.3,5740
'0:0:47.35,5744
'0:0:47.4,5746
'0:0:47.45,5751
'0:0:47.5,5755
'0:0:47.55,5758
'0:0:47.6,5761
'0:0:47.65,5767
'0:0:47.7,5774
'0:0:47.75,5784
'0:0:47.8,5797
'0:0:47.85,5814
'0:0:47.9,5828
'0:0:47.95,5845
'0:0:48.0,5861
'0:0:48.05,5873
'0:0:48.1,5883
'0:0:48.15,5897
'0:0:48.2,5911
'0:0:48.25,5922
'0:0:48.3,5929
'0:0:48.35,5939
'0:0:48.4,5951
'0:0:48.45,5967
'0:0:48.5,5981
'0:0:48.55,5987
'0:0:48.6,5988
'0:0:48.65,5987
'0:0:48.7,5979
'0:0:48.75,5965
'0:0:48.8,5955
'0:0:48.85,5945
'0:0:48.9,5933
'0:0:48.95,5916
'0:0:49.0,5900
'0:0:49.05,5889
'0:0:49.1,5883
'0:0:49.15,5876
'0:0:49.2,5871
