,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:32.75,360,845
'0:0:32.8,369,864
'0:0:32.85,361,880
'0:0:32.9,352,896
'0:0:32.95,346,915
'0:0:33.0,355,933
'0:0:33.05,359,953
'0:0:33.1,360,968
'0:0:33.15,359,986
'0:0:33.2,355,1004
'0:0:33.25,361,1026
'0:0:33.3,371,1046
'0:0:33.35,364,1062
'0:0:33.4,356,1076
'0:0:33.45,353,1095
'0:0:33.5,358,1111
'0:0:33.55,358,1124
'0:0:33.6,354,1131
'0:0:33.65,350,1133
'0:0:33.7,349,1135
'0:0:33.75,358,1138
'0:0:33.8,368,1137
'0:0:33.85,363,1128
'0:0:33.9,354,1117
'0:0:33.95,352,1110
'0:0:34.0,363,1106
'0:0:34.05,366,1098
'0:0:34.1,366,1087
'0:0:34.15,363,1068
'0:0:34.2,362,1052
'0:0:34.25,372,1037
'0:0:34.3,378,1019
'0:0:34.35,372,995
'0:0:34.4,362,972
'0:0:34.45,364,955
'0:0:34.5,372,943
'0:0:34.55,368,929
'0:0:34.6,365,913
'0:0:34.65,362,898
'0:0:34.7,362,887
'0:0:34.75,371,876
'0:0:34.8,369,869
'0:0:34.85,361,865
'0:0:34.9,358,858
'0:0:34.95,367,851
'0:0:35.0,376,847
'0:0:35.05,373,834
'0:0:35.1,368,818
'0:0:35.15,363,806
'0:0:35.2,368,797
'0:0:35.25,377,790
'0:0:35.3,370,787
'0:0:35.35,359,783
'0:0:35.4,359,774
'0:0:35.45,363,765
'0:0:35.5,358,759
'0:0:35.55,353,744
'0:0:35.6,350,731
'0:0:35.65,349,722
'0:0:35.7,363,713
'0:0:35.75,367,707
'0:0:35.8,360,705
'0:0:35.85,355,701
'0:0:35.9,358,696
'0:0:35.95,354,691
'0:0:36.0,352,687
'0:0:36.05,351,679
'0:0:36.1,349,673
'0:0:36.15,358,670
'0:0:36.2,369,666
'0:0:36.25,366,665
'0:0:36.3,357,665
'0:0:36.35,350,662
'0:0:36.4,351,658
'0:0:36.45,346,657
'0:0:36.5,336,654
'0:0:36.55,335,648
'0:0:36.6,332,649
'0:0:36.65,337,653
'0:0:36.7,346,657
'0:0:36.75,338,661
'0:0:36.8,333,661
'0:0:36.85,343,659
'0:0:36.9,354,657
'0:0:36.95,350,654
'0:0:37.0,357,654
'0:0:37.05,346,651
'0:0:37.1,339,650
'0:0:37.15,354,649
'0:0:37.2,355,649
'0:0:37.25,347,653
'0:0:37.3,347,655
'0:0:37.35,358,656
'0:0:37.4,374,659
'0:0:37.45,375,664
'0:0:37.5,371,664
'0:0:37.55,365,664
'0:0:37.6,358,668
'0:0:37.65,361,672
'0:0:37.7,352,683
'0:0:37.75,341,697
'0:0:37.8,343,705
'0:0:37.85,355,711
'0:0:37.9,364,718
'0:0:37.95,361,724
'0:0:38.0,366,727
'0:0:38.05,363,734
'0:0:38.1,360,741
'0:0:38.15,364,745
'0:0:38.2,360,754
'0:0:38.25,355,769
'0:0:38.3,353,777
'0:0:38.35,352,787
'0:0:38.4,354,799
'0:0:38.45,354,804
'0:0:38.5,355,806
'0:0:38.55,356,806
'0:0:38.6,363,810
'0:0:38.65,370,817
'0:0:38.7,357,828
'0:0:38.75,347,845
'0:0:38.8,341,861
'0:0:38.85,342,880
'0:0:38.9,342,900
'0:0:38.95,343,917
'0:0:39.0,350,934
'0:0:39.05,353,956
'0:0:39.1,368,979
'0:0:39.15,378,1003
'0:0:39.2,369,1023
'0:0:39.25,359,1044
'0:0:39.3,359,1065
'0:0:39.35,359,1089
'0:0:39.4,355,1109
'0:0:39.45,350,1126
'0:0:39.5,347,1139
'0:0:39.55,346,1157
'0:0:39.6,356,1174
'0:0:39.65,361,1188
'0:0:39.7,354,1197
'0:0:39.75,347,1205
'0:0:39.8,351,1215
'0:0:39.85,360,1225
'0:0:39.9,357,1232
'0:0:39.95,349,1239
'0:0:40.0,350,1243
'0:0:40.05,349,1252
'0:0:40.1,356,1264
'0:0:40.15,361,1267
'0:0:40.2,351,1262
'0:0:40.25,347,1257
'0:0:40.3,352,1254
'0:0:40.35,360,1248
'0:0:40.4,361,1236
'0:0:40.45,359,1218
'0:0:40.5,358,1195
'0:0:40.55,359,1171
'0:0:40.6,376,1153
'0:0:40.65,381,1129
'0:0:40.7,373,1101
'0:0:40.75,369,1073
'0:0:40.8,374,1051
'0:0:40.85,375,1031
'0:0:40.9,368,1013
'0:0:40.95,361,993
'0:0:41.0,361,971
'0:0:41.05,364,950
'0:0:41.1,381,937
'0:0:41.15,375,923
'0:0:41.2,362,915
'0:0:41.25,354,908
'0:0:41.3,358,899
'0:0:41.35,363,886
'0:0:41.4,362,875
'0:0:41.45,361,864
'0:0:41.5,361,852
'0:0:41.55,362,840
'0:0:41.6,373,833
'0:0:41.65,368,828
'0:0:41.7,357,822
'0:0:41.75,354,814
'0:0:41.8,364,806
'0:0:41.85,369,797
'0:0:41.9,369,787
'0:0:41.95,360,774
'0:0:42.0,358,764
'0:0:42.05,361,754
'0:0:42.1,375,746
'0:0:42.15,374,742
'0:0:42.2,364,738
'0:0:42.25,360,731
'0:0:42.3,365,724
'0:0:42.35,367,719
'0:0:42.4,365,714
'0:0:42.45,363,705
'0:0:42.5,360,698
'0:0:42.55,361,693
'0:0:42.6,373,690
'0:0:42.65,367,690
'0:0:42.7,354,690
'0:0:42.75,352,689
'0:0:42.8,359,687
'0:0:42.85,363,686
'0:0:42.9,361,684
'0:0:42.95,353,678
'0:0:43.0,355,675
'0:0:43.05,355,673
'0:0:43.1,370,671
'0:0:43.15,373,672
'0:0:43.2,364,674
'0:0:43.25,356,673
'0:0:43.3,361,673
'0:0:43.35,367,672
'0:0:43.4,360,670
'0:0:43.45,356,665
'0:0:43.5,353,662
'0:0:43.55,353,662
'0:0:43.6,370,661
'0:0:43.65,374,665
'0:0:43.7,368,668
'0:0:43.75,362,671
'0:0:43.8,367,671
'0:0:43.85,370,671
'0:0:43.9,366,669
'0:0:43.95,358,665
'0:0:44.0,360,662
'0:0:44.05,362,664
'0:0:44.1,375,667
'0:0:44.15,375,676
'0:0:44.2,367,689
'0:0:44.25,363,704
'0:0:44.3,369,717
'0:0:44.35,370,730
'0:0:44.4,366,743
'0:0:44.45,355,750
'0:0:44.5,350,754
'0:0:44.55,354,762
'0:0:44.6,367,774
'0:0:44.65,371,789
'0:0:44.7,362,802
'0:0:44.75,355,819
'0:0:44.8,356,835
'0:0:44.85,351,852
'0:0:44.9,343,864
'0:0:44.95,334,877
'0:0:45.0,333,896
'0:0:45.05,340,920
'0:0:45.1,352,943
'0:0:45.15,350,963
'0:0:45.2,339,981
'0:0:45.25,338,1003
'0:0:45.3,348,1025
'0:0:45.35,351,1046
'0:0:45.4,351,1064
'0:0:45.45,349,1080
'0:0:45.5,349,1101
'0:0:45.55,361,1127
'0:0:45.6,366,1141
'0:0:45.65,359,1152
'0:0:45.7,354,1164
'0:0:45.75,358,1178
'0:0:45.8,365,1184
'0:0:45.85,364,1181
'0:0:45.9,358,1183
'0:0:45.95,352,1191
'0:0:46.0,357,1201
'0:0:46.05,372,1211
'0:0:46.1,370,1211
'0:0:46.15,359,1211
'0:0:46.2,355,1216
'0:0:46.25,361,1221
'0:0:46.3,363,1220
'0:0:46.35,360,1212
'0:0:46.4,359,1199
'0:0:46.45,359,1191
'0:0:46.5,372,1187
'0:0:46.55,381,1172
'0:0:46.6,373,1152
'0:0:46.65,365,1133
'0:0:46.7,364,1123
'0:0:46.75,369,1113
'0:0:46.8,365,1099
'0:0:46.85,359,1079
'0:0:46.9,356,1055
'0:0:46.95,360,1028
'0:0:47.0,377,1007
'0:0:47.05,378,984
'0:0:47.1,370,964
'0:0:47.15,366,943
'0:0:47.2,371,928
'0:0:47.25,371,916
'0:0:47.3,370,901
'0:0:47.35,366,882
'0:0:47.4,363,872
'0:0:47.45,375,866
'0:0:47.5,382,863
'0:0:47.55,376,863
'0:0:47.6,369,860
'0:0:47.65,370,853
'0:0:47.7,374,846
'0:0:47.75,370,837
'0:0:47.8,365,823
'0:0:47.85,364,812
'0:0:47.9,368,806
'0:0:47.95,379,800
'0:0:48.0,377,798
'0:0:48.05,362,797
'0:0:48.1,352,791
'0:0:48.15,353,782
'0:0:48.2,352,772
'0:0:48.25,352,760
'0:0:48.3,354,745
'0:0:48.35,354,735
'0:0:48.4,358,729
'0:0:48.45,369,723
'0:0:48.5,362,720
'0:0:48.55,356,718
'0:0:48.6,358,712
'0:0:48.65,369,706
'0:0:48.7,372,703
'0:0:48.75,366,698
'0:0:48.8,357,691
'0:0:48.85,354,686
'0:0:48.9,359,681
'0:0:48.95,374,678
'0:0:49.0,376,677
'0:0:49.05,373,676
'0:0:49.1,374,671
'0:0:49.15,381,665
'0:0:49.2,378,662
'0:0:49.25,370,659
'0:0:49.3,361,656
'0:0:49.35,355,656
'0:0:49.4,358,657
'0:0:49.45,369,658
'0:0:49.5,366,661
'0:0:49.55,356,664
'0:0:49.6,355,663
'0:0:49.65,360,660
'0:0:49.7,360,659
'0:0:49.75,358,657
'0:0:49.8,356,653
'0:0:49.85,358,651
'0:0:49.9,363,650
'0:0:49.95,374,651
'0:0:50.0,372,653
'0:0:50.05,362,653
'0:0:50.1,359,652
'0:0:50.15,364,653
'0:0:50.2,362,656
'0:0:50.25,357,660
'0:0:50.3,354,662
'0:0:50.35,353,665
'0:0:50.4,358,670
'0:0:50.45,372,679
'0:0:50.5,370,692
'0:0:50.55,358,704
'0:0:50.6,356,715
'0:0:50.65,359,728
'0:0:50.7,359,738
'0:0:50.75,357,751
'0:0:50.8,353,760
'0:0:50.85,351,773
'0:0:50.9,351,792
'0:0:50.95,360,811
'0:0:51.0,361,824
'0:0:51.05,353,840
'0:0:51.1,348,855
'0:0:51.15,353,872
'0:0:51.2,358,889
'0:0:51.25,355,905
'0:0:51.3,349,918
'0:0:51.35,345,930
'0:0:51.4,344,948
'0:0:51.45,357,969
'0:0:51.5,358,986
'0:0:51.55,349,1004
