,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'0:0:41.3,7749
'0:0:41.35,7740
'0:0:41.4,7734
'0:0:41.45,7728
'0:0:41.5,7721
'0:0:41.55,7713
'0:0:41.6,7704
'0:0:41.65,7693
'0:0:41.7,7685
'0:0:41.75,7679
'0:0:41.8,7673
'0:0:41.85,7665
'0:0:41.9,7658
'0:0:41.95,7650
'0:0:42.0,7644
'0:0:42.05,7639
'0:0:42.1,7635
'0:0:42.15,7631
'0:0:42.2,7630
'0:0:42.25,7632
'0:0:42.3,7635
'0:0:42.35,7640
'0:0:42.4,7645
'0:0:42.45,7651
'0:0:42.5,7656
'0:0:42.55,7668
'0:0:42.6,7683
'0:0:42.65,7700
'0:0:42.7,7717
'0:0:42.75,7735
'0:0:42.8,7751
'0:0:42.85,7766
'0:0:42.9,7782
'0:0:42.95,7801
'0:0:43.0,7817
'0:0:43.05,7832
'0:0:43.1,7845
'0:0:43.15,7861
'0:0:43.2,7877
'0:0:43.25,7895
'0:0:43.3,7912
'0:0:43.35,7927
'0:0:43.4,7939
'0:0:43.45,7950
'0:0:43.5,7960
'0:0:43.55,7973
'0:0:43.6,7982
'0:0:43.65,7984
'0:0:43.7,7976
'0:0:43.75,7953
'0:0:43.8,7920
'0:0:43.85,7885
'0:0:43.9,7859
'0:0:43.95,7836
'0:0:44.0,7814
'0:0:44.05,7794
'0:0:44.1,7782
'0:0:44.15,7770
'0:0:44.2,7758
'0:0:44.25,7747
'0:0:44.3,7738
'0:0:44.35,7728
'0:0:44.4,7722
'0:0:44.45,7714
'0:0:44.5,7703
'0:0:44.55,7694
'0:0:44.6,7691
'0:0:44.65,7688
'0:0:44.7,7684
'0:0:44.75,7680
'0:0:44.8,7674
'0:0:44.85,7667
'0:0:44.9,7664
'0:0:44.95,7662
'0:0:45.0,7657
'0:0:45.05,7651
'0:0:45.1,7645
'0:0:45.15,7637
'0:0:45.2,7634
'0:0:45.25,7638
'0:0:45.3,7642
'0:0:45.35,7644
'0:0:45.4,7646
'0:0:45.45,7650
'0:0:45.5,7658
'0:0:45.55,7670
'0:0:45.6,7685
'0:0:45.65,7701
'0:0:45.7,7715
'0:0:45.75,7732
'0:0:45.8,7749
'0:0:45.85,7770
'0:0:45.9,7792
'0:0:45.95,7814
'0:0:46.0,7832
'0:0:46.05,7854
'0:0:46.1,7877
'0:0:46.15,7903
'0:0:46.2,7928
'0:0:46.25,7954
'0:0:46.3,7973
'0:0:46.35,7989
'0:0:46.4,8003
'0:0:46.45,8019
'0:0:46.5,8034
'0:0:46.55,8048
'0:0:46.6,8057
'0:0:46.65,8067
'0:0:46.7,8073
'0:0:46.75,8070
'0:0:46.8,8050
'0:0:46.85,8018
'0:0:46.9,7988
'0:0:46.95,7960
'0:0:47.0,7937
'0:0:47.05,7913
'0:0:47.1,7891
'0:0:47.15,7868
'0:0:47.2,7849
'0:0:47.25,7832
'0:0:47.3,7817
'0:0:47.35,7800
'0:0:47.4,7786
'0:0:47.45,7772
'0:0:47.5,7756
'0:0:47.55,7744
'0:0:47.6,7738
'0:0:47.65,7734
'0:0:47.7,7731
'0:0:47.75,7728
'0:0:47.8,7725
'0:0:47.85,7717
'0:0:47.9,7709
'0:0:47.95,7702
'0:0:48.0,7696
'0:0:48.05,7689
'0:0:48.1,7684
'0:0:48.15,7681
'0:0:48.2,7678
'0:0:48.25,7674
'0:0:48.3,7669
'0:0:48.35,7664
'0:0:48.4,7661
'0:0:48.45,7658
'0:0:48.5,7655
'0:0:48.55,7652
'0:0:48.6,7647
'0:0:48.65,7641
'0:0:48.7,7641
'0:0:48.75,7651
'0:0:48.8,7663
'0:0:48.85,7678
'0:0:48.9,7691
'0:0:48.95,7706
'0:0:49.0,7721
'0:0:49.05,7740
'0:0:49.1,7760
'0:0:49.15,7782
'0:0:49.2,7802
'0:0:49.25,7821
'0:0:49.3,7839
'0:0:49.35,7860
'0:0:49.4,7880
'0:0:49.45,7899
'0:0:49.5,7915
'0:0:49.55,7935
'0:0:49.6,7955
'0:0:49.65,7974
'0:0:49.7,7990
'0:0:49.75,8002
'0:0:49.8,8009
'0:0:49.85,8014
'0:0:49.9,8021
'0:0:49.95,8029
'0:0:50.0,8031
'0:0:50.05,8027
'0:0:50.1,8014
'0:0:50.15,7994
'0:0:50.2,7972
'0:0:50.25,7950
'0:0:50.3,7928
'0:0:50.35,7903
'0:0:50.4,7882
'0:0:50.45,7861
'0:0:50.5,7845
'0:0:50.55,7828
'0:0:50.6,7811
'0:0:50.65,7795
'0:0:50.7,7782
'0:0:50.75,7769
'0:0:50.8,7758
'0:0:50.85,7744
'0:0:50.9,7735
'0:0:50.95,7724
'0:0:51.0,7714
'0:0:51.05,7709
'0:0:51.1,7705
'0:0:51.15,7699
'0:0:51.2,7690
'0:0:51.25,7673
'0:0:51.3,7660
'0:0:51.35,7651
'0:0:51.4,7642
'0:0:51.45,7631
'0:0:51.5,7624
'0:0:51.55,7619
'0:0:51.6,7614
'0:0:51.65,7609
'0:0:51.7,7604
'0:0:51.75,7598
'0:0:51.8,7592
'0:0:51.85,7588
'0:0:51.9,7586
'0:0:51.95,7583
'0:0:52.0,7579
'0:0:52.05,7577
'0:0:52.1,7580
'0:0:52.15,7590
'0:0:52.2,7604
'0:0:52.25,7623
'0:0:52.3,7641
'0:0:52.35,7659
'0:0:52.4,7675
'0:0:52.45,7692
'0:0:52.5,7709
'0:0:52.55,7725
'0:0:52.6,7740
'0:0:52.65,7756
'0:0:52.7,7773
'0:0:52.75,7795
'0:0:52.8,7815
'0:0:52.85,7839
'0:0:52.9,7866
'0:0:52.95,7897
'0:0:53.0,7921
'0:0:53.05,7946
'0:0:53.1,7968
'0:0:53.15,7986
'0:0:53.2,7999
'0:0:53.25,8010
'0:0:53.3,8014
'0:0:53.35,7999
'0:0:53.4,7968
'0:0:53.45,7937
'0:0:53.5,7916
'0:0:53.55,7895
'0:0:53.6,7877
'0:0:53.65,7857
'0:0:53.7,7836
'0:0:53.75,7814
'0:0:53.8,7795
'0:0:53.85,7778
'0:0:53.9,7766
'0:0:53.95,7752
'0:0:54.0,7736
'0:0:54.05,7720
'0:0:54.1,7708
'0:0:54.15,7695
'0:0:54.2,7687
'0:0:54.25,7678
'0:0:54.3,7666
'0:0:54.35,7653
'0:0:54.4,7643
'0:0:54.45,7635
'0:0:54.5,7629
'0:0:54.55,7624
'0:0:54.6,7622
'0:0:54.65,7620
'0:0:54.7,7616
'0:0:54.75,7609
'0:0:54.8,7603
'0:0:54.85,7596
'0:0:54.9,7588
'0:0:54.95,7579
'0:0:55.0,7574
'0:0:55.05,7570
'0:0:55.1,7566
'0:0:55.15,7559
'0:0:55.2,7553
'0:0:55.25,7549
'0:0:55.3,7549
'0:0:55.35,7555
'0:0:55.4,7562
'0:0:55.45,7573
'0:0:55.5,7584
'0:0:55.55,7598
'0:0:55.6,7612
'0:0:55.65,7630
'0:0:55.7,7649
'0:0:55.75,7665
'0:0:55.8,7677
'0:0:55.85,7690
'0:0:55.9,7705
'0:0:55.95,7722
'0:0:56.0,7741
'0:0:56.05,7762
'0:0:56.1,7780
'0:0:56.15,7797
'0:0:56.2,7811
'0:0:56.25,7830
'0:0:56.3,7848
'0:0:56.35,7866
'0:0:56.4,7881
'0:0:56.45,7896
'0:0:56.5,7911
'0:0:56.55,7928
'0:0:56.6,7940
'0:0:56.65,7948
'0:0:56.7,7939
'0:0:56.75,7909
'0:0:56.8,7878
'0:0:56.85,7851
'0:0:56.9,7828
'0:0:56.95,7803
'0:0:57.0,7782
'0:0:57.05,7764
'0:0:57.1,7749
'0:0:57.15,7734
'0:0:57.2,7721
'0:0:57.25,7706
'0:0:57.3,7693
