,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:16.9,2665,
'0:0:16.95,2726,
'0:0:17.0,2813,
'0:0:17.05,2836,
'0:0:17.1,2796,
'0:0:17.15,2755,
'0:0:17.2,2763,
'0:0:17.25,2812,
'0:0:17.3,2807,
'0:0:17.35,2754,
'0:0:17.4,2762,
'0:0:17.45,2795,
'0:0:17.5,2776,
'0:0:17.55,2726,
'0:0:17.6,2679,
'0:0:17.65,2664,
'0:0:17.7,2678,
'0:0:17.75,2681,
'0:0:17.8,2724,
'0:0:17.85,2781,
'0:0:17.9,2740,
'0:0:17.95,2669,
'0:0:18.0,2634,
'0:0:18.05,2643,
'0:0:18.1,2654,
'0:0:18.15,2590,
'0:0:18.2,2533,
'0:0:18.25,2570,
'0:0:18.3,2590,
'0:0:18.35,2540,
'0:0:18.4,2472,
'0:0:18.45,2446,
'0:0:18.5,2445,
'0:0:18.55,2440,
'0:0:18.6,2484,
'0:0:18.65,2552,
'0:0:18.7,2529,
'0:0:18.75,2466,
'0:0:18.8,2461,
'0:0:18.85,2476,
'0:0:18.9,2445,
'0:0:18.95,2396,
'0:0:19.0,2403,
'0:0:19.05,2462,
'0:0:19.1,2482,
'0:0:19.15,2427,
'0:0:19.2,2347,
'0:0:19.25,2325,
'0:0:19.3,2366,
'0:0:19.35,2362,
'0:0:19.4,2351,
'0:0:19.45,2473,
'0:0:19.5,2592,
'0:0:19.55,2587,
'0:0:19.6,2575,
'0:0:19.65,2604,
'0:0:19.7,2647,
'0:0:19.75,2627,
'0:0:19.8,2600,
'0:0:19.85,2675,
'0:0:19.9,2758,
'0:0:19.95,2740,
'0:0:20.0,2686,
'0:0:20.05,2662,
'0:0:20.1,2673,
'0:0:20.15,2687,
'0:0:20.2,2692,
'0:0:20.25,2744,
'0:0:20.3,2821,
'0:0:20.35,2837,
'0:0:20.4,2827,
'0:0:20.45,2836,
'0:0:20.5,2864,
'0:0:20.55,2859,
'0:0:20.6,2844,
'0:0:20.65,2906,
'0:0:20.7,2980,
'0:0:20.75,2973,
'0:0:20.8,2940,
'0:0:20.85,2916,
'0:0:20.9,2884,
'0:0:20.95,2850,
'0:0:21.0,2811,
'0:0:21.05,2796,
